UDID,Headline,Headline_Alt,Description,Stable_URL,Date_Published,Date_Modified,Geographic_Area,IP_Right_Name,IP_Right_Wikidata_URL,Service_Type,Service_Name,HowTo_Name,Service_Provider
B1020,Request IP Australia remove an unused trade mark to defend your right,Trade mark non-use action,Request IP Australia removes an unused trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-remove-unused-trade-mark-defend-your-right,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Request IP Australia remove an unused trade mark to defend your right,How to proceed with Request IP Australia remove an unused trade mark to defend your right,IP Australia
B1016,Considerations when responding to international accusations,International disputes,Find the right assistance for responding to accusations of IP infringement happening outside of Australia.,https://ipfirstresponse.ipaustralia.gov.au/options/considerations-when-responding-international-accusations,2025-07-01,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Considerations when responding to international accusations,How to proceed with Considerations when responding to international accusations,Self-service
D1014,resolve conflicts with the help of experienced facilitators  ,Alternative dispute resolution (ADR) ,Understand more about the options in the ADR space.,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,2025-02-28,2026-01-09,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,resolve conflicts with the help of experienced facilitators  ,How to proceed with resolve conflicts with the help of experienced facilitators  ,Unknown
D1005,"Seek binding, authoritative decisions",Court - Trade mark,Escalate a wide range of trade mark matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-trade-marks,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1036,Considerations before enforcing your IP overseas,International disputes,Find the right assistance to enforce your IP right in the case of infringement happening outside of Australia.,https://ipfirstresponse.ipaustralia.gov.au/options/enforce-your-ip-overseas,2025-02-28,2025-12-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Considerations before enforcing your IP overseas,How to proceed with Considerations before enforcing your IP overseas,Self-service
D1006,Resolve IP issues with the help of a third party,Mediation ,Invite the other party to enter into mediation to agree to mutually acceptable agreement,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,2025-03-01,2025-10-17,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Resolve IP issues with the help of a third party,How to proceed with Resolve IP issues with the help of a third party,Unknown
D1002,Stop infringing goods entering the country,Notice of Objection,Lodge a notice of objection with the Australian Border Force.,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringing-goods-entering-country,2025-02-28,2026-01-22,Australia,,,GovernmentService,Stop infringing goods entering the country,How to proceed with Stop infringing goods entering the country,Australian Border Force
B1005,Register your trade mark,Apply for a trade mark,Apply to IP Australia for a registered trade mark to secure exclusive rights to your brand to reinforce your defence.,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-trade-mark,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Register your trade mark,How to proceed with Register your trade mark,IP Australia
D1029,Resolve IP issues with the help of a third party,Arbitration ,Agree to be bound by the decision of a highly qualified third-party assessment,https://ipfirstresponse.ipaustralia.gov.au/options/arbitration,2025-03-01,2026-01-27,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Resolve IP issues with the help of a third party,How to proceed with Resolve IP issues with the help of a third party,Unknown
D1030,Seek a court order to prevent further damage while preparing for court.,Interim court injuction order,Lodge an interim injunction order through court,https://ipfirstresponse.ipaustralia.gov.au/options/Interim_Injunction,2025-02-28,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Seek a court order to prevent further damage while preparing for court.,How to proceed with Seek a court order to prevent further damage while preparing for court.,Unknown
C1006,Help customers differentiate between your products and lookalikes  ,Educate your customers ,Build brand loyalty and reduce confusion by clearly explaining what makes your product genuine.,https://ipfirstresponse.ipaustralia.gov.au/options/help-customers-differentiate-between-your-products-and-lookalikes,2025-07-28,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Help customers differentiate between your products and lookalikes  ,How to proceed with Help customers differentiate between your products and lookalikes  ,Self-service
101-7,What to do if someone infringes your IP,Infringement 101,"Discovering that someone might be using your intellectual property without permission can be both frustrating and concerning. Whether it is your brand name, invention, design, or creative work, knowing how to respond appropriately is vital for protecting your rights while avoiding unnecessary costs and complications.",https://ipfirstresponse.ipaustralia.gov.au/options/what-do-if-someone-infringes-your-ip,2025-07-04,2025-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What to do if someone infringes your IP,,Self-service
B1006,Respond to an opposition filed against your trade mark,Opposition process,How to respond when someone has opposed your trade mark application,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-trade-mark,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Respond to an opposition filed against your trade mark,How to proceed with Respond to an opposition filed against your trade mark,IP Australia
E1002,What IP protection means for my business ,Protecting your business,IP protection means securing legal rights over the things your business creates…,https://ipfirstresponse.ipaustralia.gov.au/options/what-does-ip-protection-mean-my-business,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What IP protection means for my business ,,Self-service
Dxxxx,StopInfringementFacilitatedOnline,,Discover effective strategies and steps to combat online infringement and protect your digital assets with StopInfringementFacilitatedOnline guidance.,https://ipfirstresponse.ipaustralia.gov.au/options/Dxxxx,2026-02-06,2026-02-06,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,StopInfringementFacilitatedOnline,How to proceed with StopInfringementFacilitatedOnline,Unknown
101-10,What is IP Infringement ,Infringement 101,"Intellectual property infringement occurs when someone uses, reproduces, or exploits another person's or business's creative work, invention, brand name, or design without permission. This concept applies across all types of intellectual property (IP) rights protected under Australian law, including patents, trade marks, designs, copyright, and plant breeders' rights.",https://ipfirstresponse.ipaustralia.gov.au/options/what-ip-infringement,2025-07-04,2025-08-19,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What is IP Infringement ,,Self-service
E1015,When do I need a lawyer or attorney to deal with IP issues?,IP attorney or lawyer,"Discover when to hire a lawyer for IP issues, including patents, trademarks, copyrights, and trade secrets, to protect your intellectual property effectively.",https://ipfirstresponse.ipaustralia.gov.au/options/when-do-i-need-lawyer-or-attorney-deal-ip-issues,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,When do I need a lawyer or attorney to deal with IP issues?,,Unknown
E1018,What happens in an IP Australia hearing?,IP Australia process,"Discover the process and key elements of an IP Australia hearing, including preparation tips, procedural insights, and outcomes for intellectual property disputes.",https://ipfirstresponse.ipaustralia.gov.au/options/what-happens-ip-australia-hearing,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,What happens in an IP Australia hearing?,,IP Australia
D1005,"Seek binding, authoritative decisions",Court - Trade mark,Escalate a wide range of trade mark matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-trade-marks,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1013,Coverage against potential future costs related to infringement,IP insurance,Protect yourself from some costs involved in IP disputes,https://ipfirstresponse.ipaustralia.gov.au/options/coverage-against-potential-future-costs-related-infringement,2025-04-02,2025-10-01,Australia,,,Article,Coverage against potential future costs related to infringement,How to proceed with Coverage against potential future costs related to infringement,Self-service
101-10,What is IP Infringement ,Infringement 101,"Intellectual property infringement occurs when someone uses, reproduces, or exploits another person's or business's creative work, invention, brand name, or design without permission. This concept applies across all types of intellectual property (IP) rights protected under Australian law, including patents, trade marks, designs, copyright, and plant breeders' rights.",https://ipfirstresponse.ipaustralia.gov.au/options/what-ip-infringement,2025-07-04,2025-08-19,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What is IP Infringement ,,Self-service
C1014,Register your right to use your design exclusively,Apply for a design right,Submit an application to IP Australia to secure exclusive rights that protect the overall appearance that results from visual features applied to a product.,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-right-use-your-design-exclusively,2025-07-28,2025-09-05,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,GovernmentService,Register your right to use your design exclusively,How to proceed with Register your right to use your design exclusively,IP Australia
D1003,Access help tailored to resolve business disputes,ASBFEO,Australia Small Business & Family Enterprise Ombudsman (ASBFEO),https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,2025-02-28,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,Access help tailored to resolve business disputes,How to proceed with Access help tailored to resolve business disputes,Australian Small Business and Family Enterprise Ombudsman
B1021,Request confirmation that someone else's registered design is valid,Design certification ,Third-party examination lets any person request IP Australia to conduct a formal examination of a registered Australian design,https://ipfirstresponse.ipaustralia.gov.au/options/request-confirmation-someone-elses-registered-design-valid,2025-07-28,2026-01-27,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,GovernmentService,Request confirmation that someone else's registered design is valid,How to proceed with Request confirmation that someone else's registered design is valid,IP Australia
B1018,Oppose an IP infringement notice from an online marketplace ,eCommerce platform,Dispute an action that an eCommerce platform has taken against you,https://ipfirstresponse.ipaustralia.gov.au/options/oppose-ip-infringement-notice-online-marketplace,2025-07-01,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Oppose an IP infringement notice from an online marketplace ,How to proceed with Oppose an IP infringement notice from an online marketplace ,Unknown
D1033,Provide an opportunity for the other party to stop infringing.,Informal contact,Alert the alleged infringer of your registered rights to allow them to stop infringing,https://ipfirstresponse.ipaustralia.gov.au/options/provide-opportunity-other-party-stop-infringing,2025-02-20,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Provide an opportunity for the other party to stop infringing.,How to proceed with Provide an opportunity for the other party to stop infringing.,Self-service
101-6,Unregistered trade marks,Infringement 101,"Not all trade marks used in Australian marketplaces are registered with IP Australia. In certain circumstances, the law protects these ""unregistered"" trade marks. The law will offer protection or remedy when someone wrongfully appropriates a brand name, logo, slogan, or another identifying mark that is too similar to someone else's that has built up a reputation in the Australian marketplace. The use of a similar trade mark must lead to consumers being deceived or confused, and likely cause damage to the owner.",https://ipfirstresponse.ipaustralia.gov.au/options/unregistered-trade-marks,2025-07-04,2025-08-18,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Unregistered trade marks,,Self-service
D1087,"Seek binding, authoritative decisions",Court - Designs,Escalate a wide range of design rights matters to court.,https://ipfirstresponse.ipaustralia.gov.au/options/court-designs,2026-01-23,2026-02-06,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1003,Access help tailored to resolve business disputes,ASBFEO,Australia Small Business & Family Enterprise Ombudsman (ASBFEO),https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,2025-02-28,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,Access help tailored to resolve business disputes,How to proceed with Access help tailored to resolve business disputes,Australian Small Business and Family Enterprise Ombudsman
D1004,Dispute a domain name that infringes your trade mark,Domain Name Dispute (auDRP),Dispute a .au domain name that may infringe an IP right,https://ipfirstresponse.ipaustralia.gov.au/options/dispute-au-domain-name,2025-03-01,2025-12-02,Australia,,,Service,Dispute a domain name that infringes your trade mark,How to proceed with Dispute a domain name that infringes your trade mark,Unknown
C1002,Detect and discourage potential infringement in your supply chain,Monitor supply chain,Ensure your partners and suppliers are not unintentionally exposing you to IP risk through unlicensed or counterfeit components.,https://ipfirstresponse.ipaustralia.gov.au/options/detect-and-discourage-potential-infringement-your-supply-chain,2025-07-28,2026-01-22,Australia,Patent,https://www.wikidata.org/wiki/Q253623,Article,Detect and discourage potential infringement in your supply chain,How to proceed with Detect and discourage potential infringement in your supply chain,Self-service
E1011,Can I get in trouble for using IP that is not mine?,Using IP,Explore the legal risks of using intellectual property without permission and learn how to avoid potential penalties and infringement issues.,https://ipfirstresponse.ipaustralia.gov.au/options/can-i-get-trouble-using-ip-not-mine,2025-09-11,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Can I get in trouble for using IP that is not mine?,,Self-service
B1010,"Report a scam, fraud or risk to public interest",Report criminal activities ,"Notify authorities about scams, counterfeits, or fraudulent activities that pose a risk to public safety or trust.",https://ipfirstresponse.ipaustralia.gov.au/options/report-scam-fraud-or-risk-public-interest,2025-07-01,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,"Report a scam, fraud or risk to public interest","How to proceed with Report a scam, fraud or risk to public interest","ACCC, ASCS, AFP, IP Australia"
E1019,Does my Australian ip work overseas? ,Australian IP overseas,Learn if your Australian IP address functions abroad and explore solutions for maintaining access to local content while traveling internationally.,https://ipfirstresponse.ipaustralia.gov.au/options/does-my-australian-ip-work-overseas,2025-09-11,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Does my Australian ip work overseas? ,,Self-service
B1015,"Assert your rights, as a response to an accusation  ",Enforcing to defend ,"If you believe that you are genuinely in the right to retain your IP, gather evidence and defend your right to use it.",https://ipfirstresponse.ipaustralia.gov.au/options/assert-your-rights-response-accusation,2025-07-01,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,"Assert your rights, as a response to an accusation  ","How to proceed with Assert your rights, as a response to an accusation  ",Self-service
101-8,Trade mark infringement,Infringement 101,"Trade mark infringement can occur when someone uses a brand name, logo, slogan, or another identifying mark that is too similar to someone else's registered trade mark,1 particularly if it is for the same or similar goods or services.2 This can lead to confusion among consumers about the source of the goods or services being offered.",https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-infringement,2025-07-04,2025-12-15,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Trade mark infringement,,Self-service
B1017,Request IP Australia confirms a registered design is valid,Design certification ,Request IP Australia examines and certifies a registered design to secure full protection,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-confirms-registered-design-valid,2025-07-01,2025-09-05,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,GovernmentService,Request IP Australia confirms a registered design is valid,How to proceed with Request IP Australia confirms a registered design is valid,IP Australia
D1028,Agree to a formal commercial arrangement,Negotiation,Work with an IP professional to come to an agreement with another party,https://ipfirstresponse.ipaustralia.gov.au/options/agree-formal-commercial-arrangement,2025-02-28,2025-09-08,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Agree to a formal commercial arrangement,How to proceed with Agree to a formal commercial arrangement,Self-service
Dxxxx,ProvideOpportunityStopInfringement,,Discover how ProvideOpportunityStopInfringement empowers you to protect intellectual property rights and prevent unauthorized use effectively.,https://ipfirstresponse.ipaustralia.gov.au/options/Dxxxx,2026-02-06,2026-02-06,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,ProvideOpportunityStopInfringement,How to proceed with ProvideOpportunityStopInfringement,Unknown
E1013,How can I make a complaint about a lawyer or attorney?,Complaints,"Learn how to file a complaint against a lawyer or attorney, understand the process, and know your rights for addressing legal service issues effectively.",https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-make-complaint-about-lawyer-or-attorney,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,How can I make a complaint about a lawyer or attorney?,,Unknown
D1067,Prevent a patent under examination from being granted,Notification of prior art,Submit a third-party notification of prior art (S27) to alert IP Australia to earlier work that may show a patent application lacks novelty or inventiveness and thus cannot be granted.,https://ipfirstresponse.ipaustralia.gov.au/options/prevent-patent-under-examination-being-granted,2025-07-18,2026-01-27,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Prevent a patent under examination from being granted,How to proceed with Prevent a patent under examination from being granted,IP Australia
C1015,Apply for a patent to protect your invention from being copied ,Apply for a patent,Prepare and submit formal patent applications to IP Australia to secure exclusive rights for your invention.,https://ipfirstresponse.ipaustralia.gov.au/options/apply-patent-protect-your-invention-being-copied,2025-07-28,2025-09-05,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Apply for a patent to protect your invention from being copied ,How to proceed with Apply for a patent to protect your invention from being copied ,IP Australia
D1038,Notify online marketplaces of infringement on their platform,eCommerce platform,Request infringing material is removed from online marketplaces and platforms,https://ipfirstresponse.ipaustralia.gov.au/options/notify-online-marketplaces-infringement-their-platform,2025-02-28,2025-12-02,Australia,,,Service,Notify online marketplaces of infringement on their platform,How to proceed with Notify online marketplaces of infringement on their platform,Unknown
C1009,Plan how IP disputes will be handled via contracts ,Create Contact Clauses,Create ready-to-use contract clauses that will proactively refer IP disputes to dispute resolution processes endorsed by the World Intellectual Property Organisation (WIPO).,https://ipfirstresponse.ipaustralia.gov.au/options/plan-how-ip-disputes-will-be-handled-contracts,2025-07-28,2025-10-15,Australia,,,Service,Plan how IP disputes will be handled via contracts ,How to proceed with Plan how IP disputes will be handled via contracts ,Unknown
C1020,Check your design against existing designs ,Designs search,Conduct a thorough search of existing registered designs - also known as Freedom to Operate search.,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-product-against-existing-designs,2026-01-27,2026-01-27,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,Article,Check your design against existing designs ,How to proceed with Check your design against existing designs ,Self-service
101-5,Copyright infringement,Infringement 101,"Copyright infringement can occur when someone uses a copyright-protected work without obtaining permission. However, the Copyright Act does provide exceptions that enable some use of copyright material without the permission of the copyright owner in certain circumstances. Importantly, infringement can occur even if only part of a copyright-protected item is used.",https://ipfirstresponse.ipaustralia.gov.au/options/copyright-infringement,2025-07-04,2025-08-18,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,Copyright infringement,,Copyright Council
D1021,Remove a trade mark from the register,Trade mark registration revocation,Let IP Australia know a recently registered trade mark should not have been registered,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-revocation,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Remove a trade mark from the register,How to proceed with Remove a trade mark from the register,IP Australia
B1019,Challenge the registration of a new trade mark to defend your right,Opposition process,Oppose a trade mark you're accused of infringing before it becomes registered,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark-to-defend,2025-07-01,2026-01-27,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Challenge the registration of a new trade mark to defend your right,How to proceed with Challenge the registration of a new trade mark to defend your right,IP Australia
C1005,"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",IP Audit,"Identify IP in your portfolio, who owns it, what it's worth, it's legal status, and what to do next.",https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps,2025-07-28,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS","How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Self-service
B1007,Respond to an opposition filed against your patent,Opposition process,How to respond when someone has opposed your patent application,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-patent,2025-07-01,2025-09-05,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Respond to an opposition filed against your patent,How to proceed with Respond to an opposition filed against your patent,IP Australia
C1013,Monitor the trade mark register and market for competitor activity,Monitor Competitors ' IP,Ensure the exclusivity of your trade mark by detecting potential conflicts early.,https://ipfirstresponse.ipaustralia.gov.au/options/monitor-trade-mark-register-and-market-competitor-activity,2025-07-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Monitor the trade mark register and market for competitor activity,How to proceed with Monitor the trade mark register and market for competitor activity,IP Australia
101-4,Plant breeder's rights (PBR) infringement,Infringement 101,"Infringement of Plant Breeders' Rights (PBRs) can occur when someone uses a protected variety without the owner's permission. In Australia, PBRs last for up to 20 years or 25 years, depending on the plant type.",https://ipfirstresponse.ipaustralia.gov.au/options/pbr-infringement,2025-07-04,2025-09-12,Australia,Plant Breeders' Right,https://www.wikidata.org/wiki/Q695112,GovernmentService,Plant breeder's rights (PBR) infringement,,Self-help
D1015,Remove a trade mark from the register,Trade mark non-use action,Request IP Australia removes an unused trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-non-use,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Remove a trade mark from the register,How to proceed with Remove a trade mark from the register,IP Australia
B1004,Obtain legal advice on an accusation of infringment,IP attorney or lawyer  ,Seek expert advice on how to respond to allegations of IP infringement,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-accusation-infringement,2025-07-01,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Obtain legal advice on an accusation of infringment,How to proceed with Obtain legal advice on an accusation of infringment,Unknown
B1003,Pause use of contested IP until resolution,De-escalate,Evaluate the accuser's demands and consider stopping use of the contested IP to avoid escalation.,https://ipfirstresponse.ipaustralia.gov.au/options/pause-use-contested-ip-until-resolution,2025-07-01,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Pause use of contested IP until resolution,How to proceed with Pause use of contested IP until resolution,Self-service
D1020,Other IP Types,"Sorry, This information isn't available yet",We cannot provide information on this right just yet,https://ipfirstresponse.ipaustralia.gov.au/options/other-ip-types,2025-02-28,2025-07-10,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Other IP Types,,Self-service
